season,week,celebrity_name,p_min,p_max,rel_width
3,1,Harry Hamlin,0.02348490566037736,0.6471264150943397,1.859919420185469
3,1,Vivica A. Fox,0.04706981132075471,0.6707113207547171,1.7376926797468089
3,1,Monique Coleman,0.0329188679245283,0.6565603773584906,1.8090218485923204
3,1,Joey Lawrence,0.042352830188679254,0.6659943396226417,1.7608357483804975
3,1,Mario Lopez,0.06593773584905661,0.689579245283019,1.6509000459512917
3,1,Emmitt Smith,0.056503773584905666,0.680145283018868,1.693184845193943
3,1,Shanna Moakler,0.02820188679245283,0.6518433962264152,1.8341175948327526
3,1,Willa Ford,0.04706981132075471,0.6707113207547171,1.7376926797468089
3,1,Sara Evans,0.01405094339622642,0.6376924528301887,1.9137639538653948
3,1,Jerry Springer,0.01876792452830189,0.6424094339622642,1.8864575485697326
3,1,Tucker Carlson,0.0,0.05669468267581475,2.0
3,2,Harry Hamlin,0.0,0.9309347826086957,2.0
3,2,Vivica A. Fox,0.00859565217391305,0.9395304347826087,1.9637362486185568
3,2,Monique Coleman,0.017291304347826084,0.9482260869565218,1.9283646073968
3,2,Joey Lawrence,0.03033478260869567,0.9612695652173914,1.8776335231881578
3,2,Mario Lopez,0.0,0.9309347826086957,2.0
3,2,Emmitt Smith,0.00859565217391305,0.9395304347826087,1.9637362486185568
3,2,Shanna Moakler,0.0,0.09574217391304346,2.0
3,2,Willa Ford,0.004247826086956538,0.9351826086956522,1.9819131851399323
3,2,Sara Evans,0.0,0.9309347826086957,2.0
3,2,Jerry Springer,0.0,0.9309347826086957,2.0
3,3,Harry Hamlin,0.0,0.10636908212560385,2.0
3,3,Vivica A. Fox,0.024054589371980673,0.961552657004831,1.902376572573273
3,3,Monique Coleman,0.024054589371980673,0.961552657004831,1.902376572573273
3,3,Joey Lawrence,0.0,0.9374980676328503,2.0
3,3,Mario Lopez,0.0,0.9374980676328503,2.0
3,3,Emmitt Smith,0.0,0.9374980676328503,2.0
3,3,Willa Ford,0.0,0.9374980676328503,2.0
3,3,Sara Evans,0.014392753623188415,0.9518908212560386,1.940420166512766
3,3,Jerry Springer,0.0,0.9374980676328503,2.0
3,4,Vivica A. Fox,0.0,0.12129962121212122,2.0
3,4,Monique Coleman,0.0,0.9396939393939394,2.0
3,4,Joey Lawrence,0.015051515151515139,0.9547454545454546,1.9379189021132195
3,4,Mario Lopez,0.02515252525252525,0.9648464646464646,1.8983735316534351
3,4,Emmitt Smith,0.0,0.9396939393939394,2.0
3,4,Willa Ford,0.02010202020202022,0.9597959595959596,1.9179423955699366
3,4,Sara Evans,0.0,0.9396939393939394,2.0
3,4,Jerry Springer,0.0,0.9396939393939394,2.0
3,5,Monique Coleman,0.01647458563535913,0.9616259668508288,1.9326262086511121
3,5,Joey Lawrence,0.005424861878453052,0.9505762430939227,1.9773018593797136
3,5,Mario Lopez,0.01647458563535913,0.9616259668508288,1.9326262086511121
3,5,Emmitt Smith,0.01647458563535913,0.9616259668508288,1.9326262086511121
3,5,Willa Ford,0.0,0.17135405156537753,2.0
3,5,Sara Evans,0.0,0.15754189686924494,2.0
3,5,Jerry Springer,0.0,0.9451513812154697,2.0
3,7,Monique Coleman,0.029529629629629645,0.8817814814814814,1.8703861753923934
3,7,Joey Lawrence,0.04064074074074074,0.8928925925925925,1.8258627119585484
3,7,Mario Lopez,0.03693703703703706,0.8891888888888888,1.8404664592448028
3,7,Emmitt Smith,0.04064074074074074,0.8928925925925925,1.8258627119585484
3,7,Jerry Springer,0.0,0.17045037037037034,2.0
3,8,Monique Coleman,0.0,0.24319426605504588,2.0
3,8,Joey Lawrence,0.0044871559633027245,0.9772642201834862,1.981717750247872
3,8,Mario Lopez,0.018248623853210983,0.9910256880733945,1.9276762575344808
3,8,Emmitt Smith,0.0044871559633027245,0.9772642201834862,1.981717750247872
4,2,John Ratzenberger,0.0,0.9270306122448979,2.0
4,2,Ian Ziering,0.003981632653061218,0.9310122448979591,1.9829661658812567
4,2,Clyde Drexler,0.0,0.9270306122448979,2.0
4,2,Laila Ali,0.02438979591836735,0.9514204081632652,1.9000223780552843
4,2,Apolo Anton Ohno,0.020308163265306118,0.9473387755102041,1.9160513511632467
4,2,Shandi Finnessey,0.0,0.9270306122448979,2.0
4,2,Paulina Porizkova,0.0,0.0858051948051948,2.0
4,2,Heather Mills,0.012144897959183668,0.9391755102040816,1.9489345635604218
4,2,Billy Ray Cyrus,0.0,0.9270306122448979,2.0
4,2,Joey Fatone,0.012144897959183668,0.9391755102040816,1.9489345635604218
4,2,Leeza Gibbons,0.0,0.9270306122448979,2.0
4,3,John Ratzenberger,0.0,0.9362798165137614,2.0
4,3,Ian Ziering,0.013661467889908258,0.9499412844036697,1.94329004205357
4,3,Clyde Drexler,0.0,0.9362798165137614,2.0
4,3,Laila Ali,0.0,0.9362798165137614,2.0
4,3,Apolo Anton Ohno,0.009074311926605506,0.9453541284403668,1.9619696499273789
4,3,Shandi Finnessey,0.0,0.09642027522935778,2.0
4,3,Heather Mills,0.013661467889908258,0.9499412844036697,1.94329004205357
4,3,Billy Ray Cyrus,0.0,0.9362798165137614,2.0
4,3,Joey Fatone,0.013661467889908258,0.9499412844036697,1.94329004205357
4,3,Leeza Gibbons,0.013661467889908258,0.9499412844036697,1.94329004205357
