season,week,celebrity_name,a_mean,a_sd
1,1,Evander Holyfield,0.16522726204571622,0.5326606153212174
1,1,Joey McIntyre,-0.15065527195173298,0.5523100565047674
1,1,John O'Hurley,0.36664241547859444,0.5463950986290584
1,1,Kelly Monaco,-0.18516647623305577,0.5088396588621892
1,1,Rachel Hunter,-0.01258920033303466,0.5131945275789199
1,1,Trista Sutter,-0.07304304061929029,0.5166382743311069
1,2,Evander Holyfield,-0.19264739148398005,0.5500980656121809
1,2,Joey McIntyre,-0.09450745895951825,0.5707765685030538
1,2,John O'Hurley,0.6459585673685808,0.5163919800125081
1,2,Kelly Monaco,-0.31584735389981183,0.48911907374093755
1,2,Rachel Hunter,0.21104273128261353,0.517775082775824
1,2,Trista Sutter,-0.1378264781796703,0.49627529233321893
1,3,Evander Holyfield,-0.5697218369885338,0.5569193894271934
1,3,Joey McIntyre,-0.022642116574950702,0.5362762443673836
1,3,John O'Hurley,0.688433760980408,0.48230084170475557
1,3,Kelly Monaco,-0.28714577386439644,0.4922428364568798
1,3,Rachel Hunter,0.4350963593520812,0.49787815861168433
1,4,Joey McIntyre,-0.29380435624297624,0.4974579658158247
1,4,John O'Hurley,0.4144878669275684,0.4641391811954592
1,4,Kelly Monaco,0.01633873456762353,0.4931653955628971
1,4,Rachel Hunter,0.5706965510251315,0.4918241731860788
1,5,Joey McIntyre,-0.46126006605906317,0.49592836823189307
1,5,John O'Hurley,0.6169430016320655,0.4492050892956312
1,5,Kelly Monaco,-0.05752044596015811,0.46577927969642113
1,6,John O'Hurley,0.35433654980552265,0.4744966012578655
1,6,Kelly Monaco,0.1438060198005402,0.4640729023833317
2,1,Drew Lachey,-0.23595039648622848,0.5386511006651531
2,1,George Hamilton,0.4522926419014928,0.5100808937089395
2,1,Giselle Fernandez,0.05714750121873146,0.53022243981722
2,1,Jerry Rice,0.06178430103571935,0.5078312992124624
2,1,Kenny Mayne,0.12813758655844168,0.5292140865321636
